problem,planner,implementation,succeeded,collision_free,seconds,joint_length,tool_length,smoothness,min_clearance_m
17,pilz ptp,moveit (c++),True,False,0.0004,6.4626,1.2202,4.057e-31,0.0
17,pilz lin,moveit (c++),False,False,0.0026,,,,
17,ompl rrtconnect,moveit (c++),False,False,0.0209,,,,
17,chomp,moveit (c++),True,True,0.393,6.7728,1.4815,1.087e-05,0.0816
17,stomp,moveit (c++),False,False,5.0042,,,,
18,joint interpolation,armik (python),True,False,0.0001,5.5932,0.9059,6.441e-31,0.0951
18,cartesian interpolation,armik (python),False,False,1.7401,,,,
18,rrt connect,armik (python),True,True,0.0605,6.0475,0.6777,4.085e-05,0.1117
18,pilz ptp,moveit (c++),True,False,0.0003,5.5932,0.9059,3.827e-31,0.0951
18,pilz lin,moveit (c++),False,False,0.0007,,,,
18,ompl rrtconnect,moveit (c++),True,True,0.0199,6.3791,0.6587,1.466e-05,0.1362
18,chomp,moveit (c++),True,True,0.4149,5.7032,0.4161,4.445e-06,0.1166
18,stomp,moveit (c++),True,True,0.836,5.6984,0.5852,1.114e-06,0.1244
19,joint interpolation,armik (python),True,False,0.0001,4.2223,0.4598,5.149e-31,0.0725
19,cartesian interpolation,armik (python),False,False,1.7139,,,,
19,rrt connect,armik (python),True,True,0.1115,4.4156,0.5165,8.439e-06,0.0645
19,pilz ptp,moveit (c++),True,False,0.0004,4.2223,0.4598,3.109e-31,0.0725
19,pilz lin,moveit (c++),False,False,0.0038,,,,
19,ompl rrtconnect,moveit (c++),True,True,0.0233,5.4172,1.0667,1.34e-05,0.1017
19,chomp,moveit (c++),True,True,0.3593,4.2284,0.4723,3.262e-07,0.0877
19,stomp,moveit (c++),True,True,0.1526,4.2368,0.5218,1.105e-07,0.1103
20,joint interpolation,armik (python),True,False,0.0001,5.4317,0.4039,5.112e-31,0.1064
20,cartesian interpolation,armik (python),False,False,1.6943,,,,
20,rrt connect,armik (python),True,True,0.0459,5.4365,0.4231,1.19e-07,0.118
20,pilz ptp,moveit (c++),True,False,0.0004,5.4317,0.4039,3.582e-31,0.1064
20,pilz lin,moveit (c++),False,False,0.0006,,,,
20,ompl rrtconnect,moveit (c++),True,True,0.0291,6.5013,0.9104,1.779e-05,0.1715
20,chomp,moveit (c++),True,True,0.3692,5.4392,0.3546,5.848e-07,0.1142
20,stomp,moveit (c++),True,True,0.0183,5.4329,0.4206,1.09e-08,0.1217
